selection,reason,source_id,docid,ky_hieu,loai,co_quan,ngay_ban_hanh,ngay_hieu_luc,trich_yeu,url_vb,pdf_local,chars,status,notes
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,boluat100_2015,,100/2015/QH13,Bộ luật,Quốc hội,,2018-01-01,Bộ luật Hình sự 135_VBHN-VPQH,,,618833,active_verified,Bach-Xuan/Bộ luật Hình sự 135_VBHN-VPQH.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,boluat101_2015,,101/2015/QH13,Bộ luật,Quốc hội,,2016-07-01,Bộ luật Tố tụng hình sự 104_VBHN-VPQH,,,567457,active_verified,Bach-Xuan/Bộ luật Tố tụng hình sự 104_VBHN-VPQH.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,boluat45_2019,,45/2019/QH14,Bộ luật,Quốc hội,,2021-01-01,Bộ luật Lao động 18_VBHN-VPQH,,,192589,active_verified,Bach-Xuan/Bộ luật Lao động 18_VBHN-VPQH.txt
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",boluat91_2015,,91/2015/QH13,Bộ luật,Quốc hội,,,Bộ luật Dân sự,,,368136,active_verified,Bach-Xuan/Bộ luật Dân sự 91_2015_QH13.txt
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",boluat92_2015,,92/2015/QH13,Bộ luật,Quốc hội,,2016-07-01,Bộ luật Tố tụng dân sự 99_VBHN-VPQH,,,529976,active_verified,Bach-Xuan/Bộ luật Tố tụng dân sự 99_VBHN-VPQH.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,boluat95_2015,,95/2015/QH13,Bộ luật,Quốc hội,,2017-07-01,Bộ luật Hàng hải Việt Nam 52_VBHN-VPQH,,,286281,active_verified,Bach-Xuan/Bộ luật Hàng hải Việt Nam 52_VBHN-VPQH.txt
CORE,"Nền tảng cho câu hỏi dân sự, quyền lợi và thủ tục phổ biến",luat02_2011,,02/2011/QH13,Luật,Quốc hội,,2012-07-01,Luật Khiếu nại 28_VBHN-VPQH,,,74098,active_verified,Bach-Xuan/Luật Khiếu nại 28_VBHN-VPQH.txt
HOLD_PENDING,Chưa có hiệu lực tại thời điểm xác minh,luat03_2026,,03/2026/QH16,Luật,Quốc hội,,,Luật Hộ tịch,,,31389,pending_effective,legal-sources/laws-n-codes
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat05_2007,,05/2007/QH12,Luật,Quốc hội,,2008-07-01,"Luật Chất lượng sản phẩm, hàng hóa 156_VBHN-VPQH",,,104192,active_verified,"Bach-Xuan/Luật Chất lượng sản phẩm, hàng hóa 156_VBHN-VPQH.txt"
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat08_2017,,08/2017/QH14,Luật,Quốc hội,,2018-07-01,Luật Thủy lợi 94_VBHN-VPQH,,,98781,active_verified,Bach-Xuan/Luật Thủy lợi 94_VBHN-VPQH.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat08_2022,,08/2022/QH15,Luật,Quốc hội,,2023-01-01,Luật Kinh doanh Bảo hiểm 31_VBHN-VPQH,,,203243,active_verified,Bach-Xuan/Luật Kinh doanh Bảo hiểm 31_VBHN-VPQH.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat09_2012,,09/2012/QH13,Luật,Quốc hội,,2013-05-01,"Luật Phòng, chống tác hại của thuốc lá 11_VBHN-VPQH",,,31686,active_verified,"Bach-Xuan/Luật Phòng, chống tác hại của thuốc lá 11_VBHN-VPQH.txt"
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat102_2016,,102/2016/QH13,Luật,Quốc hội,,2017-06-01,Luật Trẻ em 108_VBHN-VPQH,,,91978,active_verified,Bach-Xuan/Luật Trẻ em 108_VBHN-VPQH.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat109_2025,,109/2025/QH15,Luật,Quốc hội,,2026-07-01,Luật Thuế thu nhập cá nhân 112_VBHN-VPQH,,,31312,active_verified,Bach-Xuan/Luật Thuế thu nhập cá nhân 112_VBHN-VPQH.txt
OPTIONAL_REVIEW,Nguồn trung ương hợp lệ nhưng chưa đủ cần thiết cho MVP Rightly,luat10_2017,,10/2017/QH14,Luật,Quốc hội,,2018-07-01,Luật Trách nhiệm bồi thường của Nhà nước 98_VBHN-VPQH,,,121485,active_verified,Bach-Xuan/Luật Trách nhiệm bồi thường của Nhà nước 98_VBHN-VPQH.txt
