source_id,title,source_type,publisher,published_date,is_demo,url
luat26_2023,Luật 26/2023/QH15 Luật Căn cước,gov_legal,Quốc hội,27-11-2023,False,https://vanban.chinhphu.vn/?pageid=27160&docid=209628
luat46_2024,Luật 46/2024/QH15 Luật Công chứng,gov_legal,Quốc hội,26-11-2024,False,https://vanban.chinhphu.vn/?pageid=27160&docid=212474
luat52_2014,Luật 52/2014/QH13 LUẬT HÔN NHÂN VÀ GIA ĐÌNH,gov_legal,Quốc hội,19-06-2014,False,https://vanban.chinhphu.vn/?pageid=27160&docid=175351
luat60_2014,Luật 60/2014/QH13 LUẬT HỘ TỊCH,gov_legal,Quốc hội,20-11-2014,False,https://vanban.chinhphu.vn/?pageid=27160&docid=178129
luat68_2020,Luật 68/2020/QH14 Luật Cư trú,gov_legal,Quốc hội,13-11-2020,False,https://vanban.chinhphu.vn/?pageid=27160&docid=202609
nd07_2025,"Nghị định 07/2025/NĐ-CP Sửa đổi, bổ sung một số điều của các Nghị định trong lĩnh vực hộ tịch, quốc tịch, chứng thực",gov_legal,Chính phủ,09-01-2025,False,https://vanban.chinhphu.vn/?pageid=27160&docid=212416
nd104_2025,Nghị định 104/2025/NĐ-CP Quy định chi tiết một số điều và biện pháp thi hành Luật Công chứng,gov_legal,Chính phủ,15-05-2025,False,https://vanban.chinhphu.vn/?pageid=27160&docid=213663
nd123_2015,Nghị định 123/2015/NĐ-CP Quy định chi tiết một số điều và biện pháp thi hành Luật Hộ tịch,gov_legal,Chính phủ,15-11-2015,False,https://vanban.chinhphu.vn/?pageid=27160&docid=182158
nd126_2014,Nghị định 126/2014/NĐ-CP Quy định chi tiết một số điều và biện pháp thi hành Luật Hôn nhân và gia đình,gov_legal,Chính phủ,31-12-2014,False,https://vanban.chinhphu.vn/?pageid=27160&docid=178372
nd154_2024,Nghị định 154/2024/NĐ-CP Quy định chi tiết một số điều và biện pháp thi hành Luật Cư trú,gov_legal,Chính phủ,26-11-2024,False,https://vanban.chinhphu.vn/?pageid=27160&docid=211821
nd62_2021,Nghị định 62/2021/NĐ-CP Quy định chi tiết một số điều Luật Cư trú,gov_legal,Chính phủ,29-06-2021,False,https://vanban.chinhphu.vn/?pageid=27160&docid=203460
