source_id,docid,ky_hieu,loai,co_quan,ngay_ban_hanh,ngay_hieu_luc,trich_yeu,url_vb,pdf_local,chars,status,notes
boluat100_2015,,100/2015/QH13,Bộ luật,Quốc hội,,2018-01-01,Bộ luật Hình sự 135_VBHN-VPQH,,,618833,active_verified,Bach-Xuan/Bộ luật Hình sự 135_VBHN-VPQH.txt
boluat101_2015,,101/2015/QH13,Bộ luật,Quốc hội,,2016-07-01,Bộ luật Tố tụng hình sự 104_VBHN-VPQH,,,567457,active_verified,Bach-Xuan/Bộ luật Tố tụng hình sự 104_VBHN-VPQH.txt
boluat104_2025,,104/2025/QH15,Bộ luật,Quốc hội,,2016-07-01,104-VBHN-VPQH 2025 Bộ luật Tố tụng hình sự,,,567457,active_verified,Bach-Xuan/104-VBHN-VPQH 2025 Bộ luật Tố tụng hình sự.txt
boluat135_2025,,135/2025/QH15,Bộ luật,Quốc hội,,2018-01-01,135-VBHN-VPQH 2025 Bộ luật Hình sự,,,618833,active_verified,Bach-Xuan/135-VBHN-VPQH 2025 Bộ luật Hình sự.txt
boluat18_2026,,18/2026/QH15,Bộ luật,Quốc hội,,2021-01-01,18-VBHN-VPQH 2026 Bộ luật Lao động,,,192589,active_verified,Bach-Xuan/18-VBHN-VPQH 2026 Bộ luật Lao động.txt
boluat45_2019,,45/2019/QH14,Bộ luật,Quốc hội,,2021-01-01,Bộ luật Lao động 18_VBHN-VPQH,,,192589,active_verified,Bach-Xuan/Bộ luật Lao động 18_VBHN-VPQH.txt
boluat52_2026,,52/2026/QH15,Bộ luật,Quốc hội,,2017-07-01,52-VBHN-VPQH 2026 Bộ luật Hàng hải Việt Nam,,,286281,active_verified,Bach-Xuan/52-VBHN-VPQH 2026 Bộ luật Hàng hải Việt Nam.txt
boluat91_2015,,91/2015/QH13,Bộ luật,Quốc hội,,,Bộ luật Dân sự,,,368136,active_verified,Bach-Xuan/Bộ luật Dân sự 91_2015_QH13.txt
boluat92_2015,,92/2015/QH13,Bộ luật,Quốc hội,,2016-07-01,Bộ luật Tố tụng dân sự 99_VBHN-VPQH,,,529976,active_verified,Bach-Xuan/Bộ luật Tố tụng dân sự 99_VBHN-VPQH.txt
boluat95_2015,,95/2015/QH13,Bộ luật,Quốc hội,,2017-07-01,Bộ luật Hàng hải Việt Nam 52_VBHN-VPQH,,,286281,active_verified,Bach-Xuan/Bộ luật Hàng hải Việt Nam 52_VBHN-VPQH.txt
boluat99_2025,,99/2025/QH15,Bộ luật,Quốc hội,,2016-07-01,99-VBHN-VPQH 2025 Bộ luật Tố tụng dân sự,,,529976,active_verified,Bach-Xuan/99-VBHN-VPQH 2025 Bộ luật Tố tụng dân sự.txt
luat02_2011,,02/2011/QH13,Luật,Quốc hội,,2012-07-01,Luật Khiếu nại 28_VBHN-VPQH,,,74098,active_verified,Bach-Xuan/Luật Khiếu nại 28_VBHN-VPQH.txt
luat03_2015,,03/2015/QH15,Luật,Quốc hội,,2007-01-01,03-VBHN-VPQH 2015 Luật Luật sư,,,108592,active_verified,Bach-Xuan/03-VBHN-VPQH 2015 Luật Luật sư.txt
luat03_2026,,03/2026/QH16,Luật,Quốc hội,,,Luật Hộ tịch,,,31389,pending_effective,legal-sources/laws-n-codes
luat05_2007,,05/2007/QH12,Luật,Quốc hội,,2008-07-01,"Luật Chất lượng sản phẩm, hàng hóa 156_VBHN-VPQH",,,104192,active_verified,"Bach-Xuan/Luật Chất lượng sản phẩm, hàng hóa 156_VBHN-VPQH.txt"
luat06_2025,,06/2025/QH15,Luật,Quốc hội,,2024-08-01,06-VBHN-VPQH 2025 Luật Kinh doanh bất động sản,,,142235,active_verified,Bach-Xuan/06-VBHN-VPQH 2025 Luật Kinh doanh bất động sản.txt
luat06_2026,,06/2026/QH15,Luật,Quốc hội,,2021-07-01,06-VBHN-VPQH 2026 Luật Cư trú,,,57511,active_verified,Bach-Xuan/06-VBHN-VPQH 2026 Luật Cư trú.txt
luat08_2017,,08/2017/QH14,Luật,Quốc hội,,2018-07-01,Luật Thủy lợi 94_VBHN-VPQH,,,98781,active_verified,Bach-Xuan/Luật Thủy lợi 94_VBHN-VPQH.txt
luat08_2022,,08/2022/QH15,Luật,Quốc hội,,2023-01-01,Luật Kinh doanh Bảo hiểm 31_VBHN-VPQH,,,203243,active_verified,Bach-Xuan/Luật Kinh doanh Bảo hiểm 31_VBHN-VPQH.txt
luat09_2012,,09/2012/QH13,Luật,Quốc hội,,2013-05-01,"Luật Phòng, chống tác hại của thuốc lá 11_VBHN-VPQH",,,31686,active_verified,"Bach-Xuan/Luật Phòng, chống tác hại của thuốc lá 11_VBHN-VPQH.txt"
luat09_2026,,09/2026/QH15,Luật,Quốc hội,,2024-07-01,09-VBHN-VPQH 2026 Luật Căn cước,,,66142,active_verified,Bach-Xuan/09-VBHN-VPQH 2026 Luật Căn cước.txt
luat100_2026,,100/2026/QH15,Luật,Quốc hội,,2024-07-01,100-VBHN-VPQH 2026 Luật Các tổ chức tín dụng,,,307820,active_verified,Bach-Xuan/100-VBHN-VPQH 2026 Luật Các tổ chức tín dụng.txt
luat101_2026,,101/2026/QH15,Luật,Quốc hội,,2024-07-01,101-VBHN-VPQH 2026 Luật Hợp tác xã,,,166336,active_verified,Bach-Xuan/101-VBHN-VPQH 2026 Luật Hợp tác xã.txt
luat102_2016,,102/2016/QH13,Luật,Quốc hội,,2017-06-01,Luật Trẻ em 108_VBHN-VPQH,,,91978,active_verified,Bach-Xuan/Luật Trẻ em 108_VBHN-VPQH.txt
luat102_2026,,102/2026/QH15,Luật,Quốc hội,,2021-01-01,102-VBHN-VPQH 2026 Luật Chứng khoán,,,244817,active_verified,Bach-Xuan/102-VBHN-VPQH 2026 Luật Chứng khoán.txt
luat106_2026,,106/2026/QH15,Luật,Quốc hội,,2018-01-01,106-VBHN-VPQH 2026 Luật Trợ giúp pháp lý,,,54762,active_verified,Bach-Xuan/106-VBHN-VPQH 2026 Luật Trợ giúp pháp lý.txt
luat107_2026,,107/2026/QH15,Luật,Quốc hội,,2020-07-01,"107-VBHN-VPQH 2026 Luật Xuất cảnh, nhập cảnh của công dân Việt Nam",,,88696,active_verified,"Bach-Xuan/107-VBHN-VPQH 2026 Luật Xuất cảnh, nhập cảnh của công dân Việt Nam.txt"
luat108_2025,,108/2025/QH15,Luật,Quốc hội,,2017-06-01,108-VBHN-VPQH 2025 Luật Trẻ em,,,91978,active_verified,Bach-Xuan/108-VBHN-VPQH 2025 Luật Trẻ em.txt
luat109_2025,,109/2025/QH15,Luật,Quốc hội,,2026-07-01,Luật Thuế thu nhập cá nhân 112_VBHN-VPQH,,,31312,active_verified,Bach-Xuan/Luật Thuế thu nhập cá nhân 112_VBHN-VPQH.txt
luat109_2026,,109/2026/QH15,Luật,Quốc hội,,2025-07-01,109-VBHN-VPQH 2026 Luật Công chứng,,,123109,active_verified,Bach-Xuan/109-VBHN-VPQH 2026 Luật Công chứng.txt
luat10_2017,,10/2017/QH14,Luật,Quốc hội,,2018-07-01,Luật Trách nhiệm bồi thường của Nhà nước 98_VBHN-VPQH,,,121485,active_verified,Bach-Xuan/Luật Trách nhiệm bồi thường của Nhà nước 98_VBHN-VPQH.txt
luat10_2022,,10/2022/QH15,Luật,Quốc hội,,2023-07-01,Luật Thực hiện dân chủ ở cơ sở 87_VBHN-VPQH,,,150872,active_verified,Bach-Xuan/Luật Thực hiện dân chủ ở cơ sở 87_VBHN-VPQH.txt
luat112_2026,,112/2026/QH15,Luật,Quốc hội,,2026-07-01,112-VBHN-VPQH 2026 Luật Thuế thu nhập cá nhân,,,31312,active_verified,Bach-Xuan/112-VBHN-VPQH 2026 Luật Thuế thu nhập cá nhân.txt
luat113_2025,,113/2025/QH15,Luật,Quốc hội,,2006-01-01,113-VBHN-VPQH 2025 Luật Thương mại,,,171308,active_verified,Bach-Xuan/113-VBHN-VPQH 2025 Luật Thương mại.txt
luat114_2026,,114/2026/QH15,Luật,Quốc hội,,2025-07-01,114-VBHN-VPQH 2026 Luật Thuế giá trị gia tăng,,,50266,active_verified,Bach-Xuan/114-VBHN-VPQH 2026 Luật Thuế giá trị gia tăng.txt
luat115_2025,,115/2025/QH15,Luật,Quốc hội,,2009-07-01,115-VBHN-VPQH 2025 Luật Thi hành án dân sự,,,234921,active_verified,Bach-Xuan/115-VBHN-VPQH 2025 Luật Thi hành án dân sự.txt
luat116_2025,,116/2025/QH15,Luật,Quốc hội,,,Luật An ninh mạng,,,86385,active_verified,Bach-Xuan/Luật An ninh mạng 116_2025_QH15.txt
luat117_2025,,117/2025/QH15,Luật,Quốc hội,,2022-01-01,"117-VBHN-VPQH 2025 Luật Phòng, chống ma túy",,,59330,active_verified,"Bach-Xuan/117-VBHN-VPQH 2025 Luật Phòng, chống ma túy.txt"
luat11_2017,,11/2017/QH14,Luật,Quốc hội,,2018-01-01,Luật Trợ giúp pháp lý 106_VBHN-VPQH,,,54762,active_verified,Bach-Xuan/Luật Trợ giúp pháp lý 106_VBHN-VPQH.txt
luat11_2026,,11/2026/QH15,Luật,Quốc hội,,2013-05-01,"11-VBHN-VPQH 2026 Luật Phòng, chống tác hại của thuốc lá",,,31686,active_verified,"Bach-Xuan/11-VBHN-VPQH 2026 Luật Phòng, chống tác hại của thuốc lá.txt"
luat120_2025,216502,120/2025/QH15,Luật,Quốc hội,2025-12-10,2026-07-01,"Luật Phòng, chống ma túy",https://congbao.chinhphu.vn/van-ban/luat-so-120-2025-qh15-468574.htm,,78550,active_verified,congbao.chinhphu.vn
luat121_2025,,121/2025/QH15,Luật,Quốc hội,,2025-07-01,121-VBHN-VPQH 2025 Luật Hôn nhân và Gia đình,,,88056,active_verified,Bach-Xuan/121-VBHN-VPQH 2025 Luật Hôn nhân và Gia đình.txt
luat126_2025,,126/2025/QH15,Luật,Quốc hội,,,Luật Báo chí,,,57395,active_verified,Bach-Xuan/Luật Báo chí 126_2025_QH15.txt
luat133_2025,,133/2025/QH15,Luật,Quốc hội,,2024-08-01,133-VBHN-VPQH 2025 Luật Đất đai,,,541495,active_verified,Bach-Xuan/133-VBHN-VPQH 2025 Luật Đất đai.txt
luat134_2025,,134/2025/QH15,Luật,Quốc hội,,2021-01-01,134-VBHN-VPQH 2025 Luật Đầu tư,,,200973,active_verified,Bach-Xuan/134-VBHN-VPQH 2025 Luật Đầu tư.txt
luat136_2025,216516,136/2025/QH15,Luật,Quốc hội,2025-12-10,2026-07-01,"Luật sửa đổi, bổ sung một số điều của Luật Tiếp công dân, Luật Khiếu nại, Luật Tố cáo",https://congbao.chinhphu.vn/van-ban/luat-so-136-2025-qh15-468696.htm,,24166,active_verified,congbao.chinhphu.vn
luat138_2025,,138/2025/QH15,Luật,Quốc hội,,2025-07-01,"138-VBHN-VPQH 2025 Luật Phòng, chống mua bán người",,,67510,active_verified,"Bach-Xuan/138-VBHN-VPQH 2025 Luật Phòng, chống mua bán người.txt"
luat13_2022,,13/2022/QH15,Luật,Quốc hội,,,"Luật Phòng, chống bạo lực gia đình",,,55501,active_verified,"Bach-Xuan/Luật Phòng, chống bạo lực gia đình 13_2022_QH15.txt"
luat13_2026,,13/2026/QH15,Luật,Quốc hội,,2016-07-01,13-VBHN-VPQH 2026 Luật Tố tụng hành chính,,,378154,active_verified,Bach-Xuan/13-VBHN-VPQH 2026 Luật Tố tụng hành chính.txt
luat14_2012,,14/2012/QH13,Luật,Quốc hội,,,"Luật Phổ biến, giáo dục pháp luật",,,33067,active_verified,"Bach-Xuan/Luật Phổ biến, giáo dục pháp luật 14_2012_QH13.txt"
luat14_2024,,14/2024/QH15,Luật,Quốc hội,,2016-07-01,"14-VBHN-VPQH 2024 Luật An toàn, vệ sinh lao động",,,135386,active_verified,"Bach-Xuan/14-VBHN-VPQH 2024 Luật An toàn, vệ sinh lao động.txt"
luat154_2025,,154/2025/QH15,Luật,Quốc hội,,2015-01-01,154-VBHN-VPQH 2025 Luật Xây dựng,,,232082,active_verified,Bach-Xuan/154-VBHN-VPQH 2025 Luật Xây dựng.txt
luat156_2025,,156/2025/QH15,Luật,Quốc hội,,2008-07-01,"156-VBHN-VPQH 2025 Luật Chất lượng sản phẩm, hàng hóa",,,104192,active_verified,"Bach-Xuan/156-VBHN-VPQH 2025 Luật Chất lượng sản phẩm, hàng hóa.txt"
luat15_2012,,15/2012/QH13,Luật,Quốc hội,,2013-07-01,Luật Xử lý vi phạm hành chính 90_VBHN-VPQH,,,248104,active_verified,Bach-Xuan/Luật Xử lý vi phạm hành chính 90_VBHN-VPQH.txt
luat15_2017,,15/2017/QH14,Luật,Quốc hội,,2018-01-01,"Luật Quản lý, sử dụng tài sản công 97_VBHN-VPQH",,,190039,active_verified,"Bach-Xuan/Luật Quản lý, sử dụng tài sản công 97_VBHN-VPQH.txt"
luat15_2023,,15/2023/QH15,Luật,Quốc hội,,2024-01-01,"Luật Khám bệnh, chữa bệnh 26_VBHN-VPQH",,,152767,active_verified,"Bach-Xuan/Luật Khám bệnh, chữa bệnh 26_VBHN-VPQH.txt"
luat16_2023,,16/2023/QH15,Luật,Quốc hội,,2024-07-01,Luật Giá 25_VBHN-VPQH,,,138928,active_verified,Bach-Xuan/Luật Giá 25_VBHN-VPQH.txt
luat17_2023,,17/2023/QH15,Luật,Quốc hội,,2024-07-01,Luật Hợp tác xã 101_VBHN-VPQH,,,166336,active_verified,Bach-Xuan/Luật Hợp tác xã 101_VBHN-VPQH.txt
luat19_2023,,19/2023/QH15,Luật,Quốc hội,,2024-07-01,Luật Bảo vệ quyền lợi người tiêu dùng 47_VBHN-VPQH,,,106439,active_verified,Bach-Xuan/Luật Bảo vệ quyền lợi người tiêu dùng 47_VBHN-VPQH.txt
luat19_2026,,19/2026/QH15,Luật,Quốc hội,,2025-07-01,19-VBHN-VPQH 2026 Luật Bảo hiểm xã hội,,,187926,active_verified,Bach-Xuan/19-VBHN-VPQH 2026 Luật Bảo hiểm xã hội.txt
